"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Valkenswaard";"";"Valkenswaard";"Gemeente";"";"";"";"20-03-2025";"20-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.valkenswaard.nl/organisatie-en-organogram";"adresType: Bezoekadres, openbareRuimte: De Hofnar, huisnummer: 15, postcode: 5554 DA, woonplaats: VALKENSWAARD, provincieAfkorting: NB, centroideLatitude: 51.34999527, centroideLongitude: 5.46079525, centroideRdx: 160127.0, centroideRdy: 373423.0;adresType: Postadres, postbus: 10100, postcode: 5550 GA, woonplaats: VALKENSWAARD;adresType: Woo-Adres, openbareRuimte: de Hofnar, huisnummer: 15, postbus: 10100, postcode: 5554DA, woonplaats: Valkenswaard, provincieAfkorting: NB, land: Nederland, centroideLatitude: 51.34999528, centroideLongitude: 5.46079517, centroideRdx: 160127.0, centroideRdy: 373423.0";"https://afspraken.valkenswaard.nl/";"";"(040) 208 34 44";"(040) 208 34 44, label: algemeen";"";"gemeente@valkenswaard.nl, label: algemeen";"https://www.valkenswaard.nl, label: algemeen";"";"";"";"";"https://www.valkenswaard.nl/organisatie-en-organogram";"56,47";"";"Valkenswaard";"31955";"565";"23";"Helder & Gedreven (6);VOTE (4);PvdA (3);Valkenswaard lokaal (3);Samen voor Valkenswaard (2);CDA (2);Vitaal Valkenswaard (1);D66 (1);VVD (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Valkenswaard_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0858";"17272342";"";"";"";"gm0858";"Ja"
"Gemeente Veendam";"";"Veendam";"Gemeente";"";"";"";"07-04-2025";"07-04-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.veendam.nl/Onderwerpen/Bestuur_en_organisatie";"adresType: Postadres, postbus: 20004, postcode: 9640 PA, woonplaats: VEENDAM;adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 5, postcode: 9641 AW, woonplaats: VEENDAM, provincieAfkorting: GR, centroideLatitude: 53.10445462, centroideLongitude: 6.87774544, centroideRdx: 254821.774, centroideRdy: 569660.641;adresType: Woo-Adres, postbus: 20004, postcode: 9640 PA, woonplaats: Veendam";"https://veendam.mijnafspraakmaken.nl/";"";"(0598) 65 22 22";"(0598) 65 22 22, label: algemeen";"";"Info@veendam.nl, label: algemeen";"https://www.veendam.nl, label: algemeen";"";"";"";"";"";"78,71";"";"Borgercompagnie, Veendam, Wildervank";"27687";"351";"21";"Gemeentebelangen (7);PvdA (5);SP (3);Veuruutkiek (2);ChristenUnie (1);VVD (1);CDA (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Veendam_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"50852736";"";"";"";"gm0047";"Ja"
"Gemeente Veenendaal";"";"Veenendaal";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Veenendaal is een middelgrote gemeente met ruim 70.000 inwoners. Het heeft een centrale ligging, op de grens tussen Utrecht en Gelderland, en is daarmee goed bereikbaar. Veenendaal heeft een dorps karakter met stadse vraagstukken en is daardoor altijd in beweging. Veens WerkenIn onze organisatie werken we met 19 teams aan onze dienstverlening, projecten en opgaven. Daarbij staat de vraag en behoefte vanuit de samenleving altijd centraal. Ook onze manier van werken is daarop ingericht. In Veenendaal werken we namelijk plaats- en tijdonafhankelijk om goed in te kunnen spelen op de ontwikkelingen in de maatschappij. Dat noemen wij: het Veens werken. In Veenendaal doen we ons werk op basis van vertrouwen. We nemen daarin onze eigen verantwoordelijkheid. We hebben een informele organisatie met veel onderling contact. We kennen elkaar. Deze korte lijnen zorgen ervoor dat je echt kunt meewerken aan het uiteindelijke resultaat dat we samen willen bereiken. Jouw kennis en talent doet ertoe. Als professional én als persoon krijg je de mogelijkheid om jouw talenten nog verder te ontwikkelen.";"https://www.veenendaal.nl/info-over-de-gemeente/organisatie/werken-voor-veenendaal/over-ons";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 3901 GA, woonplaats: VEENENDAAL, provincieAfkorting: UT, centroideLatitude: 52.02375405, centroideLongitude: 5.55751799, centroideRdx: 166689.66, centroideRdy: 448392.25;adresType: Postadres, postbus: 1100, postcode: 3900 BC, woonplaats: VEENENDAAL;adresType: Woo-Adres, toelichting: Gemeentehuis Veenendaal, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 3901GA, woonplaats: Veenendaal, provincieAfkorting: UT, land: Nederland, centroideLatitude: 52.02375405, centroideLongitude: 5.55751792, centroideRdx: 166689.66, centroideRdy: 448392.25;adresType: Woo-Adres, toelichting: Gemeente Veenendaal, postbus: 1100, postcode: 3900 BC, woonplaats: Veenendaal, regio: Foodvalley, provincieAfkorting: UTR, land: Nederland;adresType: Woo-Adres, toelichting: bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 3901 GA, woonplaats: Veenendaal, regio: Foodvalley, provincieAfkorting: UT, land: Nederland";"https://loket.veenendaal.nl/mozard/!suite09.scherm1089?mWfrs=1290607&mNch=e0jh2ovtuz";"";"(0318) 53 85 38";"(0318) 53 85 38, label: algemeen";"";"";"https://www.veenendaal.nl, label: algemeen";"";"https://loket.veenendaal.nl/mozard/!suite09.scherm1089?mWfrs=1292331&mNch=a3902bw9nv, taalcode: nl-NL";"";"";"";"19,81";"";"Veenendaal";"70352";"3551";"33";"ChristenUnie (7);SGP (7);ProVeenendaal (6);CDA (3);VVD (3);Lokaal Veenendaal (3);SP (1);D66 (1);PvdA (1);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Veenendaal_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0345";"50182544";"";"";"";"gm0345";"Ja"
"Gemeente Veere";"";"Veere";"Gemeente";"";"";"";"16-05-2025";"16-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De bereikbaarheidsgegevens van onze organisatie kunt u op deze pagina vinden.";"https://www.veere.nl/contact";"adresType: Bezoekadres, openbareRuimte: Traverse, huisnummer: 1, postcode: 4357 ET, woonplaats: DOMBURG, provincieAfkorting: ZL, centroideLatitude: 51.55952873, centroideLongitude: 3.50117096, centroideRdx: 24222.0, centroideRdy: 398424.0;adresType: Postadres, postbus: 1000, postcode: 4357 ZV, woonplaats: DOMBURG;adresType: Woo-Adres, toelichting: T.a.v. afdeling Bedrijfsvoering/contactpersoon Woo, postbus: 1000, postcode: 4357 ZV, woonplaats: Domburg";"https://afspraken.veere.nl/internetafspraken/";"gemeente@veere.nl";"(0118) 55 54 44";"(0118) 55 54 44, label: algemeen";"";"gemeente@veere.nl, label: algemeen";"https://www.veere.nl, label: algemeen";"";"";"";"";"https://www.veere.nl/organisatie";"134,96";"";"Aagtekerke, Biggekerke, Domburg, Gapinge, Grijpskerke, Koudekerke, Meliskerke, Oostkapelle, Serooskerke Gem Veere, Veere, Vrouwenpolder, Westkapelle, Zoutelande";"21945";"162";"19";"SGP (3);HVV (3);VVD (3);DTV (2);CDA (2);ChristenUnie (2);D66 (1);Pvda/Groenlinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Veere";"https://identifier.overheid.nl/tooi/id/gemeente/gm0717";"20165936";"";"";"";"gm0717";"Ja"
"Gemeente Veldhoven";"";"Veldhoven";"Gemeente";"";"01-01-1921";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"";"adresType: Bezoekadres, openbareRuimte: Meiveld, huisnummer: 1, postcode: 5501 KA, woonplaats: VELDHOVEN, provincieAfkorting: NB, centroideLatitude: 51.42102421, centroideLongitude: 5.40475716, centroideRdx: 156221.162, centroideRdy: 381322.574;adresType: Postadres, postbus: 10101, postcode: 5500 GA, woonplaats: VELDHOVEN;adresType: Woo-Adres, openbareRuimte: Meiveld, huisnummer: 1, postbus: 10101, postcode: 5500 GA, woonplaats: Veldhoven, regio: Metropoolregio Eindhoven, provincieAfkorting: Noord-Brabant, land: Nederland";"https://www.veldhoven.nl/afspraak/";"gemeente@veldhoven.nl";"14 040";"14 040, label: algemeen";"";"gemeente@veldhoven.nl, label: algemeen";"https://www.veldhoven.nl, label: algemeen";"";"";"";"";"https://www.veldhoven.nl/data/downloadables/1/0/3/organogram-gemeente-veldhoven.pdf";"31,92";"";"Veldhoven";"47601";"1491";"29";"Hart voor Veldhoven (9);Gemeente Belangen Veldhoven (6);VVD (5);GroenLinks/PvdA (3);Senioren Veldhoven (2);D66 (2);CDA (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Veldhoven_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0861";"17272483";"";"";"";"gm0861";"Ja"
"Gemeente Velsen";"";"Velsen";"Gemeente";"";"";"";"16-05-2025";"16-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Bij Velsen zet je jezelf dagelijks in voor verbetering en groei van onze organisatie en gemeente. In de gemeente Velsen is het nooit saai. Dit komt vooral door verschillende dorpskernen, ieder met zijn eigen identiteit.Levendige havens met industrie, brede duinen met daarachter de zee. Watersport, veelzijdige kunst en cultuur, groene parken en landgoederen. Een drukbevaren Noordzeekanaal: Velsen biedt veel afwisseling voor wonen, werken, ondernemen en ontspannen. Ruim 500 medewerkers dragen dagelijks hun steentje bij om al het moois in de gemeente te behouden en verder te ontwikkelen. Samen werken we voor bijna 70.000 Velsenaren aan een vitale en leefbare gemeente.Velsen bestaat uit 7 kernen: - IJmuiden- Driehuis- Santpoort-Noord- Santpoort-Zuid- Velserbroek- Velsen-Noord- Velsen-ZuidOnze dienstverlening richt zich op een leefbare en aantrekkelijke gemeente waarin iedereen meedoet. Waarin we in energiek samenspel aan een duurzame toekomst werken. Samen staan we sterker. Daarom maakt Velsen deel uit van de Metropoolregio Amsterdam (MRA). Dit is een bestuurlijk samenwerkingsverband van gemeenten en provincies rondom Amsterdam.";"https://www.velsen.nl/organisatiestructuur-gemeente-velsen";"adresType: Bezoekadres, openbareRuimte: Dudokplein, huisnummer: 1, postcode: 1971 EN, woonplaats: IJMUIDEN, provincieAfkorting: NH, centroideLatitude: 52.46089676, centroideLongitude: 4.62419328, centroideRdx: 103142.7, centroideRdy: 497289.1;adresType: Postadres, postbus: 465, postcode: 1970 AL, woonplaats: IJMUIDEN;adresType: Woo-Adres, openbareRuimte: Dudokplein, huisnummer: 1, postbus: 465, postcode: 1971 EN, woonplaats: IJmuiden, provincieAfkorting: NH, land: Nederland";"https://velsen.mijnafspraakmaken.nl/";"";"(0255) 56 72 00";"(0255) 56 72 00, label: algemeen";"";"info@velsen.nl, label: algemeen";"https://www.velsen.nl, label: algemeen";"";"";"";"";"https://www.velsen.nl/organisatiestructuur-gemeente-velsen";"63,08";"";"Driehuis, IJmuiden, Santpoort-Noord, Santpoort-Zuid, Velsen-Noord, Velsen-Zuid, Velserbroek";"70026";"1110";"33";"Velsen Lokaal (7);D66 (6);VVD (4);PvdA (3);GroenLinks (3);Forza! IJmond (2);LGV (2);CDA (2);Forum voor Democratie (2);Liberaal Blauw (1);ChristenUnie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Velsen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0453";"50115634";"";"";"";"gm0453";"Ja"
"Gemeente Venlo";"";"Venlo";"Gemeente";"";"";"";"26-03-2025";"26-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.venlo.nl";"adresType: Bezoekadres, openbareRuimte: Hanzeplaats, huisnummer: 1, postcode: 5912 AT, woonplaats: VENLO, provincieAfkorting: LB, centroideLatitude: 51.36728567, centroideLongitude: 6.16417377, centroideRdx: 209106.986, centroideRdy: 375632.255;adresType: Postadres, postbus: 3434, postcode: 5902 RK, woonplaats: VENLO;adresType: Woo-Adres, postbus: 3434, postcode: 5902 RK, woonplaats: Venlo, land: Nederland";"";"";"14 077";"14 077, label: algemeen";"";"info@venlo.nl, label: algemeen";"https://www.venlo.nl, label: algemeen";"";"";"";"";"https://www.venlo.nl/ambtelijke-organisatie";"128,99";"";"Arcen, Belfeld, Lomm, Steyl, Tegelen, Velden, Venlo";"103984";"806";"39";"EENLokaal (8);CDA (7);PvdA (5);GroenLinks (4);Venlose Senioren Partij (3);D66 (3);PVV (2);Veur Groeët Venlo (2);VVD (2);Fractie Oruç (1);Forum voor Democratie (1);DENK (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Venlo_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"14131668";"";"";"";"gm0983";"Ja"
"Gemeente Venray";"";"Venray";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"In de gemeente Venray zetten dagelijks ruim 450 gemeenteambtenaren zich in voor ruim 44.662 inwoners. Zij doen dat samen met de gemeenteraad en het college van burgemeester en wethouders.";"https://www.venray.nl/de-organisatie-van-de-gemeente-venray";"adresType: Bezoekadres, openbareRuimte: Raadhuisstraat, huisnummer: 1, postcode: 5801 MB, woonplaats: VENRAY, provincieAfkorting: LB, centroideLatitude: 51.52899427, centroideLongitude: 5.97622889, centroideRdx: 195873.683, centroideRdy: 393499.541;adresType: Postadres, postbus: 500, postcode: 5800 AM, woonplaats: VENRAY;adresType: Woo-Adres, postbus: 500, postcode: 5800 AM, woonplaats: Venray";"https://www.venray.nl/openingstijden-en-contact";"gemeente@venray.nl";"(0478) 52 33 33";"(0478) 52 33 33, label: algemeen";"";"gemeente@venray.nl, label: algemeen";"https://www.venray.nl, label: algemeen";"";"";"";"";"https://www.venray.nl/de-organisatie-van-de-gemeente-venray";"146,36";"";"Blitterswijck, Castenray, Geijsteren, Heide, Leunen, Merselo, Oirlo, Oostrum, Smakt, Venray, Veulen, Vredepeel, Wanssum, Ysselsteyn";"44807";"306";"27";"CDA (6);VVD (4);Samenwerking Venray (3);D66 (3);SP (2);Venray Lokaal (1);PvdA (1);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Venray_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0984";"14132389";"";"";"";"gm0984";"Ja"
"Gemeente Vijfheerenlanden";"";"Vijfheerenlanden";"Gemeente";"";"01-01-2019";"";"04-06-2025";"04-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.vijfheerenlanden.nl/vacatures/over-ons";"adresType: Bezoekadres, openbareRuimte: Voorstraat, huisnummer: 30, postcode: 4132AS, woonplaats: Vianen, provincieAfkorting: UT, centroideLatitude: 51.9949893, centroideLongitude: 5.09234324, centroideRdx: 134749.17, centroideRdy: 445219.273;adresType: Postadres, postbus: 11, postcode: 4140 AA, woonplaats: LEERDAM;adresType: Woo-Adres, openbareRuimte: Dokter Reilinghplein, huisnummer: 1, postcode: 4141 DA, woonplaats: LEERDAM, provincieAfkorting: UT";"https://vijfheerenlanden.mijnafspraakmaken.nl/Client/";"";"";"(088) 599 70 00, label: algemeen";"";"info@vijfheerenlanden.nl, label: algemeen";"https://www.vijfheerenlanden.nl/, label: algemeen";"";"";"";"";"https://www.vijfheerenlanden.nl/vacatures/teams";"153,31";"";"Ameide, Everdingen, Hagestein, Hei- en Boeicop, Hoef en Haag, Kedichem, Leerbroek, Leerdam, Lexmond, Meerkerk, Nieuwland, Oosterwijk, Ossenwaard, Schoonrewoerd, Tienhoven aan de Lek, Vianen UT, Zijderveld";"62554";"408";"31";"VHL Lokaal (7);CDA (6);ChristenUnie (4);SGP (4);VVD (4);D66 (3);PvdA (2);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"73547026";"";"";"";"";"Ja"
"Gemeente Vlaardingen";"";"Vlaardingen";"Gemeente";"";"";"";"16-05-2025";"16-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://vlaardingen.nl/Organisatie";"adresType: Bezoekadres, openbareRuimte: Westnieuwland, huisnummer: 6, postcode: 3131 VX, woonplaats: VLAARDINGEN, provincieAfkorting: ZH, centroideLatitude: 51.90813195, centroideLongitude: 4.34120745, centroideRdx: 83023.986, centroideRdy: 436032.544;adresType: Postadres, postbus: 1002, postcode: 3130 EB, woonplaats: VLAARDINGEN;adresType: Woo-Adres, toelichting: De gemeente Vlaardingen heeft een centraal stadskantoor. Hier kunt u terecht voor het aanvragen van gemeentelijke producten. Sommige onderdelen van de gemeente hebben een eigen locatie., openbareRuimte: Westnieuwland, huisnummer: 6, postcode: 3131VX, woonplaats: Vlaardingen, provincieAfkorting: ZH, land: Nederland, centroideLatitude: 51.90813195, centroideLongitude: 4.34120738, centroideRdx: 83023.986, centroideRdy: 436032.544";"https://vlaardingen.nl/Contact/Afspraak_maken";"";"";"(010) 248 40 00, label: algemeen";"";"";"https://www.vlaardingen.nl, label: algemeen";"";"https://www.vlaardingen.nl/Contact, taalcode: nl-NL";"";"";"https://vlaardingen.nl/Organisatie/Gemeentelijke_organisatie/Organisatie_gemeente_Vlaardingen";"26,72";"";"Vlaardingen";"77260";"2891";"35";"ONS.Vlaardingen (4);VV2000/Leefbaar Vlaardingen (4);GroenLinks (4);VVD (4);SP (4);CDA (3);D66 (2);AOV (2);ChristenUnie/SGP (2);HEEL DE STAD (1);Fractie Solleveld (1);BVV (1);DENK (1);PvdA (1);SBV (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Vlaardingen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0622";"24485270";"";"";"";"gm0622";"Ja"
"Gemeente Vlieland";"";"Vlieland";"Gemeente";"";"";"";"27-05-2025";"27-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Een hele kleine gemeente die voor grote uitdagingen staat. We willen zelfstandig blijven, zorgen dat jonge mensen op het eiland willen (blijven) wonen, de voorzieningen voor onze inwoners en gasten op peil houden en werken aan een duurzame toekomst. Dit doen we met een team van circa 30 mensen, 10 bij de buitendienst en ongeveer 20 bij de binnendienst: team beleid en team uitvoering & ondersteuning. We zijn allemaal generalist binnen ons eigen vakgebied en hebben veel vrijheid en verantwoordelijkheid. We zijn zelfstandig maar werken wel samen, zowel onderling als met de andere Waddeneilanden en Friese gemeenten aan de vaste wal. De sfeer is informeel en de lijnen zijn kort.";"https://www.vlieland.nl/bestuur-en-organisatie";"adresType: Bezoekadres, openbareRuimte: Dorpsstraat, huisnummer: 127, postcode: 8899 AE, woonplaats: VLIELAND, provincieAfkorting: FR, centroideLatitude: 53.29501575, centroideLongitude: 5.06553339, centroideRdx: 133551.02, centroideRdy: 589883.688;adresType: Postadres, postbus: 10, postcode: 8899 ZN, woonplaats: VLIELAND;adresType: Woo-Adres, openbareRuimte: Dorpsstraat, huisnummer: 127, postcode: 8899AE, woonplaats: Vlieland, provincieAfkorting: Fr, land: Nederland;adresType: Woo-Adres, postbus: 10, postcode: 8899ZN, woonplaats: Vlieland, provincieAfkorting: Fr, land: Nederland";"";"info@vlieland.nl";"(0562) 45 27 00";"(0562) 45 27 00, label: algemeen";"";"info@vlieland.nl, label: algemeen";"https://www.vlieland.nl, label: algemeen";"";"";"";"";"https://www.vlieland.nl/organisatiestructuur";"320,5";"";"Vlieland";"1217";"3";"9";"Nieuw Liberaal Vlieland (3);Lijst Fier (3);GroenWit (1);Lijst Stuivenga (1);Algemeen Belang Vlieland (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Vlieland_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0096";"01181122";"";"";"";"gm0096";"Ja"
